{{definitions}};{{Bedeutungen}}
{{part-of-speech|;{{Wortart\|
|noun|;\|Substantiv\|
|adjectiv|;\|Adjektiv\|
noun overview;Substantiv Übersicht
verb overview;Verb Übersicht
adjective overview;Adjektiv Übersicht
adverb overview;Adverb Übersicht
lang=;spr=
{{root-form-reference|;{{Grundformverweis Dekl\|
{{female-word-form}};{{Weibliche Wortformen}}
{{male-word-form}};{{Männliche Wortformen}}
{{secondary-forms}};{{Nebenformen}}
{{outdated-forms}};{{Nicht mehr gültige Schreibweisen}}
{{grammatical-features}};{{Grammatische Merkmale}}
{{translations}};==== {{Übersetzungen}} ====
{{translation|;{{Ü\|
{{translation-redirect|{{Übersetzungen umleiten\|
{{translation-transliteration|;{{Üt\|